user_id,n_val,mle_top1,map_top1
AEBZ52L4HLWEJ3A2VEOF2MPXYTRA,1,1,1
AEBZH3QQEDNN7ERSCPXJSSU6JPBA,3,1,1
AEBZPN243MTLKSG3M2MVG3ULZJFQ,2,1,1
AEBZWSQNV7DKLLADXTTVZEE5XKJQ,5,0,0
AEC4CX6VGNQWPFCEXQBHOVTRE6QA,4,1,1
AEC54BATYKY5EBKD5C47IZ72RHOA,2,0,0
AEC5L4QNSFKPAWTMO6FSC44JU2KQ,1,0,0
AEC6AIEIUYYCEYSBCEGQROPUOD2A,1,1,1
AEC6BDPPL7VMFGW2GRIRRFAR2K5A,2,1,1
AEC6FYZH33IUVLN3J37DEU4OHZRQ,2,1,1
AECAVA7JYZE3M4LYFAFBVJ4KDOUQ,1,1,1
AECAXTTUZQI2RVKWRJFO5MT5JDRQ,2,1,1
AECCGT2VVF75NBJA3QRINXQA3JQQ,1,1,1
AECD5KCBMUH6K5KIY3JXWFWQZ2RQ,1,1,1
AECDBZS5FEUHS7VSACPSQXJ3J3RQ,2,0,0
AECE6BRGUEFAJQIZ7F5QO53Z623A,6,0,1
AECEMZOBX5RM2KH2LTAGPTMNSB5A,2,0,1
AECETPD7DKW5OFP3G5553TAN3OMQ,1,0,1
AECEVIIE6ZKC3HL3GKROSNAZJNKQ,3,1,1
AECGR42H24LUU7DA7HEUMCRLTX7Q,2,1,1
AECHB52QONJJCMFN35YBRV6AKRTQ,4,0,0
AECHES7YQXQUNNGWIGKTT3RUI5DA,1,1,1
AECIUBJO4LW74BZU5VEZI2TQJEXQ,2,0,0
AECJQ2SQDHBMPLPAZEI5CL7QMJTA,1,0,1
AECOV6ON6UN4ZSMBDP2Y6WOXIHXQ,1,0,0
AECPMAEJSYYD23UYKOADPPIEGVYA,1,0,0
AECQQBG6YRYCOJL2NCB2H3V6LD6Q,11,0,1
AECQZ4B5GKGNXKQYFMGLSRAHKAAA,2,0,1
AECSEZG2QWRUD5K53OYXD7DFACNQ,2,1,1
AECTDPVM3P47MDXXYIXLICAHDPYQ,2,1,1
AECTQQX663PTF5UQ2RA5TUL3BXVQ,75,1,1
AECU5G5N7OSZDTE2ETVULZINKHHA,1,0,0
AECW4OYN5QSEEQMUWP4FPV5CWKLA,2,1,1
AECX5CEJ43EPQFS4YVJKI6ZSQZ3A,1,1,1
AECXU2GTT324U3XNERN44HPNBFBA,1,0,1
AECXUX4CMPAJGNENGFOHPYCRB3EA,1,0,1
AED2MJH4VSKPADHQUKOU642EHPYA,7,1,1
AED4S3SGZ7GRRL6RNQD3TKUC6YPQ,1,1,0
AED5CY57L474C37AHNRMT3BTS5LA,1,1,1
AED5VKZVSF7PC3TOET3PKBA5J2JA,5,1,1
AED6IN2QT3ZBEBWRIVKVXVIC363A,1,1,1
AED6ONQGNLQ6I644SMZAJ4HO7M7Q,1,0,1
AED7LIBPSXABDPG6O5BMDBIRT4LA,10,1,1
AEDA7G76V3MOISPROU6NMNANSJGA,1,1,1
AEDDGBCTX5D3VQR5UEZ7ML4XG3GQ,5,0,0
AEDDJB7MPW47O5JJKB7QY4VS4IFA,1,0,1
AEDGTHUT7SFHVGZFO54U2BG6Z57A,1,0,0
AEDGZXSNLBKDKGE2DPXNYK6YJNCA,1,0,0
AEDHDPYF27NCIQTU2T767WF3KH5A,3,0,0
AEDI2245AAVQ6ZQSOCAVACXUYN7A,3,0,1
AEDIDDDGGCF5AXLODCKBTKI2M7XA,8,1,1
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,5,0,0
AEDN7UFUBZ4INLYXHPENQO5YINPA,1,0,0
AEDO2PEACPO6KFRU3D6M53GZIQ3Q,2,1,1
AEDOFQC2VBFWTMYU3AXGVMUMVJHA,3,0,0
AEDOHFM25ZBJNS3VNSOZ62IM2IQA,3,1,1
AEDORUA4LL4AGVPOHKGCLNJO5FIQ,16,1,1
AEDQUNB4KPTD6KNX3NAABKYKZ5IA,6,0,0
AEDRAZDFFIVRE7SPX2M24DK63A6A,1,0,0
AEDRCHOAWHFTL4RC3AGMNEP3DXRQ,25,1,1
AEDSAUTD62TDD6EFA2SIYZRCSD5Q,1,0,0
AEDTZCI4QCLKRFL5DA53JL47Z5UQ,1,0,1
AEDUFD4SI3SNGPI2LMXAUQM4APFA,2,1,1
AEDUUDZNAZLFH7ZF37DF7K5PX2AA,1,1,1
AEDW7GN3JOJI57CIPHER6ZDZBMWA,1,1,1
AEDWF2OGZFM3D7WAFO54NKL3LODQ,3,1,1
AEDWQL7X5RI33EOUYJ2PLM5ACTBQ,2,1,1
AEDZBRBUIBXXMC3WDI44DORHB6YQ,3,0,1
AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1,0,0
AEE53DTIR6I2OOZGRK5W6Z7RQRHA,14,1,1
AEE5NWP5FL55C4YOPKP2CX3SNQNQ,1,1,1
AEE6GG3I64ECV63HPOEU2AWC2KZQ,1,0,0
AEEA7GWY5ELEMEGUXULT5OBCACTQ,2,1,1
AEEBTCY2EIEVK3RXUU5YBJF26YZA,1,0,0
AEEDFUQ7SXVEZ4VBHTED5D6MZ7QA,3,0,0
AEEHB4Y75GCKZPPE6C6AO3BAREFQ,4,0,0
AEEHSGIEOXLHDMNDUYGX4R4W5TZA,5,1,1
AEEKLTEBCLCLFKH3AKVF2OILFQEQ,1,0,1
AEEL5LKRPXOMMIGHNCSQACPDF7YA,2,1,1
AEELTFR7EFE5YGNLHG56OLLBYD5Q,2,1,1
AEEPAAPOC7QGA6XTABKBD5YQFN7Q,1,1,1
